Course Code,Lecture Hall,Position,No. of seats
CSE202,NLHC LC-II-C6,Right,24
CSE202,NLHC LC-II-C7,Right,24
CSE202,NLHC LC-II-C8,Right,24
CSE202,NLHC LC-II-C9,Left,2
CSE202,NLHC LC-II-C10,Left,24
CSE202,NLHC LC-II-C11,Left,24
CSE202,NLHC LC-II-C12,Left,24
CSE202,NLHC LC-II-C13,Left,24
CSE202,NLHC LC-II-C14,Left,24
CSE202,LC-I-C1,Left,25
CSO302,NLHC LC-II-G8,Right,13
CSO302,NLHC LC-II-G8,Single,2
CSO302,NLHC LC-II-G9,Left,48
CSO302,NLHC LC-II-G9,Single,4
CSO302,NLHC LC-II-G10,Left,8
CSO403,NLHC LC-II-G1,Left,48
CSO403,NLHC LC-II-G1,Single,4
CSO403,NLHC LC-II-G2,Left,48
CSO403,NLHC LC-II-G2,Single,4
CSO403,NLHC LC-II-G3,Left,26
CSO503,NLHC LC-II-G11,Right,48
CSO503,NLHC LC-II-G12,Left,6
CSO506,NLHC LC-II-G1,Left,48
CSO506,NLHC LC-II-G1,Single,3
CSO508,NLHC LC-II-G7,Right,7
CSO508,NLHC LC-II-G8,Left,21
CSO508,NLHC LC-II-G8,Single,4
CSO508,NLHC LC-II-G9,Left,48
CSO508,NLHC LC-II-G9,Single,4
CSO508,NLHC LC-II-G10,Left,21
CSV101,NLHC LC-II-G1,Right,48
CSV101,NLHC LC-II-G2,Right,48
CSV101,NLHC LC-II-G3,Right,48
CSV101,NLHC LC-II-G4,Right,48
CSV101,NLHC LC-II-G5,Right,48
CSV101,NLHC LC-II-G6,Right,48
CSV101,NLHC LC-II-G7,Right,48
CSV101,NLHC LC-II-G8,Right,48
CSV101,NLHC LC-II-G9,Right,48
CSV101,NLHC LC-II-G10,Right,48
CSV101,NLHC LC-II-G11,Left,12
CSV102,NLHC LC-II-G1,Right,48
CSV102,NLHC LC-II-G2,Right,48
CSV102,NLHC LC-II-G3,Right,48
CSV102,NLHC LC-II-G4,Right,48
CSV102,NLHC LC-II-G5,Right,48
CSV102,NLHC LC-II-G6,Right,48
CSV102,NLHC LC-II-G7,Right,48
CSV102,NLHC LC-II-G8,Right,48
CSV102,NLHC LC-II-G9,Right,48
CSV102,NLHC LC-II-G10,Right,48
CSV102,NLHC LC-II-G11,Left,12
CYC506,LC-I-C4,Right,3
CYC506,LC-I-C5,Left,21
CYC507,LC-I-C5,Right,23
CYC508,NLHC LC-II-C7,Right,20
CYC509,NLHC LC-II-G14,Right,20
CYC517,LC-I-C3,Right,48
CYC517,LC-I-C4,Right,13
CYC518,PET2,Left,9
CYC518,PET2,Single,3
CYC518,PET3,Left,48
CYC518,PET3,Single,3
CYC518,Mech Dept Gallery 01,Left,4
CYC519,PET1,Right,5
CYC519,PET2,Left,41
CYC519,PET2,Single,3
CYC519,PET3,Left,19
CYC520,LC-I-C1,Right,48
CYC520,LC-I-C2,Left,21
CYC521,NLHC LC-II-G3,Right,37
CYC521,NLHC LC-II-G4,Left,24
CYC522,NLHC LC-II-G16,Left,11
CYC522,NLHC LC-II-G16,Single,4
CYC522,NLHC LC-II-C1,Left,24
CYC522,NLHC LC-II-C2,Left,22
CYC540,NLHC LC-II-G13,Right,6
CYC595,NLHC LC-II-G7,Right,20
CYC596,NLHC LC-II-G16,Left,28
CYC598,NLHC LC-II-G8,Right,28
CYC598,NLHC LC-II-G9,Right,48
CYC598,NLHC LC-II-G10,Right,3
CYC599,LC-I-C2,Right,25
CYC599,LC-I-C3,Left,34
CYC599,LC-I-C3,Single,2
CYC599,LC-I-C4,Left,48
CYC599,LC-I-C4,Single,2
CYC599,LC-I-C5,Left,1
CYD501,NLHC LC-II-G6,Right,16
CYD502,NLHC LC-II-C14,Right,23
CYD506,PET2,Left,8
CYD506,PET2,Single,2
CYD513,PET2,Right,31
CYD534,PET3,Right,20
CYD540,LC-I-C5,Right,17
CYI101,NLHC LC-II-C9,Right,23
CYI101,NLHC LC-II-C10,Right,24
CYI101,NLHC LC-II-C11,Right,24
CYI101,NLHC LC-II-C12,Right,24
CYI101,NLHC LC-II-C13,Right,24
CYI101,NLHC LC-II-C14,Left,9
CYI101,LC-I-C1,Left,48
CYI101,LC-I-C1,Single,2
CYI101,LC-I-C2,Left,29
CYI102,NLHC LC-II-G11,Right,3
CYI102,NLHC LC-II-G12,Right,48
CYI102,NLHC LC-II-G13,Right,48
CYI102,NLHC LC-II-G14,Right,48
CYI102,NLHC LC-II-G15,Right,48
CYI102,NLHC LC-II-G15,Single,3
CYI102,NLHC LC-II-G16,Left,9
CYP003,NLHC LC-II-G12,Right,32
CYP003,NLHC LC-II-G13,Right,7
CYP004,NLHC LC-II-G14,Left,29
CYP004,NLHC LC-II-G14,Single,4
CYP004,NLHC LC-II-G15,Left,6
ECC103,Mech Dept Gallery 02,Right,44
ECC103,Mech Dept ED Hall Ext,Single,77
ECC104,PET3,Left,9
ECC104,PET3,Single,3
ECC104,Mech Dept Gallery 01,Left,48
ECC104,Mech Dept Gallery 02,Left,48
ECC104,Mech Dept ED Hall Ext,Single,13
ECC206,NLHC LC-II-C10,Right,13
ECC206,NLHC LC-II-C11,Right,24
ECC206,NLHC LC-II-C12,Left,12
ECC206,NLHC LC-II-C13,Left,24
ECC206,NLHC LC-II-C14,Left,24
ECC206,LC-I-C1,Left,40
ECC207,NLHC LC-II-G1,Right,29
ECC207,NLHC LC-II-G2,Left,4
ECC207,NLHC LC-II-G2,Single,4
ECC207,NLHC LC-II-G3,Left,48
ECC207,NLHC LC-II-G3,Single,4
ECC207,NLHC LC-II-G4,Left,48
ECC208,NLHC LC-II-G5,Right,3
ECC208,NLHC LC-II-G6,Left,36
ECC208,NLHC LC-II-G6,Single,4
ECC208,NLHC LC-II-G7,Left,48
ECC208,NLHC LC-II-G7,Single,4
ECC208,NLHC LC-II-G8,Left,42
ECC209,NLHC LC-II-G11,Right,20
ECC209,NLHC LC-II-G12,Right,48
ECC209,NLHC LC-II-G13,Left,20
ECC209,NLHC LC-II-G13,Single,4
ECC209,NLHC LC-II-G14,Left,48
ECC210,NLHC LC-II-G12,Right,32
ECC210,NLHC LC-II-G13,Right,48
ECC210,NLHC LC-II-G14,Left,36
ECC210,NLHC LC-II-G14,Single,4
ECC210,NLHC LC-II-G15,Left,18
ECC211,NLHC LC-II-G8,Right,48
ECC211,NLHC LC-II-G9,Left,31
ECC211,NLHC LC-II-G9,Single,4
ECC211,NLHC LC-II-G10,Left,48
ECC211,NLHC LC-II-G10,Single,4
ECC211,NLHC LC-II-G11,Left,2
ECC306,NLHC LC-II-G14,Right,27
ECC306,NLHC LC-II-G15,Left,5
ECC306,NLHC LC-II-G15,Single,4
ECC306,NLHC LC-II-G16,Left,48
ECC306,NLHC LC-II-G16,Single,4
ECC306,NLHC LC-II-C1,Left,24
ECC306,NLHC LC-II-C2,Left,24
ECC307,NLHC LC-II-G1,Right,48
ECC307,NLHC LC-II-G2,Right,48
ECC307,NLHC LC-II-G3,Left,33
ECC307,NLHC LC-II-G3,Single,4
ECC307,NLHC LC-II-G4,Left,4
ECC308,NLHC LC-II-G12,Right,48
ECC308,NLHC LC-II-G13,Right,48
ECC308,NLHC LC-II-G14,Left,13
ECC308,NLHC LC-II-G14,Single,4
ECC308,NLHC LC-II-G15,Left,22
ECC309,NLHC LC-II-G15,Right,48
ECC309,NLHC LC-II-G16,Right,48
ECC309,NLHC LC-II-C1,Left,4
ECC309,NLHC LC-II-C2,Left,24
ECC309,NLHC LC-II-C3,Left,13
ECC402,LC-I-C5,Right,48
ECC402,PET1,Left,41
ECC402,PET1,Single,3
ECC402,PET2,Left,42
ECC504,LC-I-C1,Left,27
ECC504,LC-I-C1,Single,2
ECC506,NLHC LC-II-C11,Right,24
ECC507,NLHC LC-II-G11,Left,16
ECC507,NLHC LC-II-G11,Single,4
ECC507,NLHC LC-II-G12,Left,2
ECC510,NLHC LC-II-C13,Right,11
ECC514,NLHC LC-II-C12,Left,1
ECC514,NLHC LC-II-C13,Left,24
ECC514,NLHC LC-II-C14,Left,1
ECC518,NLHC LC-II-G12,Right,6
ECC519,Mech Dept Gallery 02,Right,6
ECC520,Mech Dept Gallery 01,Right,6
ECC522,Mech Dept Gallery 02,Right,15
ECC523,Mech Dept Gallery 01,Right,15
ECC524,Mech Dept ED Hall Ext,Single,15
ECC529,LC-I-C4,Right,21
ECC530,NLHC LC-II-C6,Left,4
ECC530,NLHC LC-II-C7,Left,17
ECC532,LC-I-C4,Left,9
ECC533,NLHC LC-II-C13,Right,8
ECC534,LC-I-C4,Right,11
ECC534,LC-I-C5,Right,1
ECC535,LC-I-C4,Left,13
ECC536,LC-I-C4,Right,24
ECC537,NLHC LC-II-C12,Right,4
ECC537,NLHC LC-II-C13,Left,9
ECC537,NLHC LC-II-C14,Left,11
ECC538,NLHC LC-II-G12,Right,10
ECC539,Mech Dept Gallery 02,Right,10
ECC540,Mech Dept Gallery 01,Right,10
ECC541,NLHC LC-II-G14,Left,12
ECC541,NLHC LC-II-G14,Single,4
ECC541,NLHC LC-II-G15,Left,5
ECC595,LC-I-C4,Left,38
ECC595,LC-I-C4,Single,2
ECC595,LC-I-C5,Left,12
ECC596,LC-I-C2,Right,12
ECC596,LC-I-C3,Left,28
ECC598,NLHC LC-II-G13,Right,40
ECC599,Mech Dept Gallery 02,Right,47
ECC599,Mech Dept ED Hall Ext,Single,55
ECD404,NLHC LC-II-C12,Right,24
ECD404,NLHC LC-II-C13,Right,24
ECD404,NLHC LC-II-C14,Right,24
ECD404,LC-I-C1,Left,1
ECD404,LC-I-C1,Single,2
ECD406,Mech Dept Gallery 02,Right,48
ECD406,Mech Dept ED Hall Ext,Single,20
ECD409,NLHC LC-II-G16,Left,8
ECD409,NLHC LC-II-G16,Single,4
ECD409,NLHC LC-II-C1,Left,5
ECD413,PET2,Right,48
ECD413,PET2,Single,2
ECD413,PET3,Left,6
ECD419,Mech Dept ED Hall Ext,Single,61
ECD502,NLHC LC-II-G14,Right,1
ECD503,NLHC LC-II-C4,Left,12
ECD503,NLHC LC-II-C5,Left,2
ECD549,NLHC LC-II-G1,Right,13
ECD549,NLHC LC-II-G2,Left,13
ECD557,NLHC LC-II-G4,Right,25
ECE102,NLHC LC-II-G14,Right,29
ECE102,NLHC LC-II-G15,Left,44
ECE102,NLHC LC-II-G15,Single,4
ECE102,NLHC LC-II-G16,Left,48
ECE102,NLHC LC-II-G16,Single,4
ECE102,NLHC LC-II-C1,Left,24
ECE102,NLHC LC-II-C2,Left,24
ECE102,NLHC LC-II-C3,Left,24
ECE102,NLHC LC-II-C4,Left,24
ECE102,NLHC LC-II-C5,Left,24
ECE102,NLHC LC-II-C6,Left,24
ECE102,NLHC LC-II-C7,Left,24
ECE102,NLHC LC-II-C8,Left,24
ECE102,NLHC LC-II-C9,Left,24
ECE102,NLHC LC-II-C10,Left,24
ECE102,NLHC LC-II-C11,Left,24
ECE102,NLHC LC-II-C12,Left,24
ECE102,NLHC LC-II-C13,Left,24
ECE102,NLHC LC-II-C14,Left,15
ECE201,NLHC LC-II-G2,Right,48
ECE201,NLHC LC-II-G3,Left,44
ECE201,NLHC LC-II-G3,Single,4
ECE201,NLHC LC-II-G4,Left,42
ECO400,NLHC LC-II-G1,Left,26
ECO401,NLHC LC-II-C1,Right,8
ECO401,NLHC LC-II-C2,Right,10
ECO520,NLHC LC-II-G12,Left,1
EEC103,Mech Dept Gallery 02,Right,42
EEC103,Mech Dept ED Hall Ext,Single,82
EEC104,NLHC LC-II-G8,Right,42
EEC104,NLHC LC-II-G9,Right,48
EEC104,NLHC LC-II-G10,Right,34
EEC204,NLHC LC-II-C11,Right,21
EEC204,NLHC LC-II-C12,Right,24
EEC204,NLHC LC-II-C13,Left,24
EEC204,NLHC LC-II-C14,Left,24
EEC204,LC-I-C1,Left,44
EEC205,NLHC LC-II-G10,Right,20
EEC205,NLHC LC-II-G11,Right,48
EEC205,NLHC LC-II-G12,Left,30
EEC205,NLHC LC-II-G12,Single,4
EEC205,NLHC LC-II-G13,Left,35
EEC206,NLHC LC-II-G16,Right,48
EEC206,NLHC LC-II-C1,Left,19
EEC206,NLHC LC-II-C2,Left,24
EEC206,NLHC LC-II-C3,Left,24
EEC206,NLHC LC-II-C4,Left,22
EEC207,NLHC LC-II-C8,Left,17
EEC207,NLHC LC-II-C9,Left,24
EEC207,NLHC LC-II-C10,Left,24
EEC207,NLHC LC-II-C11,Left,24
EEC207,NLHC LC-II-C12,Left,24
EEC207,NLHC LC-II-C13,Left,22
EEC273,NLHC LC-II-C1,Right,24
EEC273,NLHC LC-II-C2,Right,24
EEC273,NLHC LC-II-C3,Right,24
EEC273,NLHC LC-II-C4,Right,24
EEC273,NLHC LC-II-C5,Left,10
EEC273,NLHC LC-II-C6,Left,24
EEC273,NLHC LC-II-C7,Left,5
EEC274,NLHC LC-II-G16,Right,48
EEC274,NLHC LC-II-C1,Right,24
EEC274,NLHC LC-II-C2,Left,24
EEC274,NLHC LC-II-C3,Left,24
EEC274,NLHC LC-II-C4,Left,15
EEC311,LC-I-C3,Left,13
EEC311,LC-I-C3,Single,2
EEC311,LC-I-C4,Left,48
EEC311,LC-I-C4,Single,2
EEC311,LC-I-C5,Left,48
EEC311,LC-I-C5,Single,2
EEC311,PET1,Left,17
EEC312,LC-I-C1,Right,11
EEC312,LC-I-C2,Left,1
EEC312,LC-I-C2,Single,2
EEC312,LC-I-C3,Left,48
EEC312,LC-I-C3,Single,2
EEC312,LC-I-C4,Left,48
EEC312,LC-I-C4,Single,2
EEC312,LC-I-C5,Left,24
EEC377,PET1,Left,2
EEC377,PET1,Single,3
EEC377,PET2,Left,48
EEC377,PET2,Single,3
EEC377,PET3,Left,48
EEC377,PET3,Single,3
EEC377,Mech Dept Gallery 01,Left,31
EEC378,NLHC LC-II-C13,Right,24
EEC378,NLHC LC-II-C14,Right,24
EEC378,LC-I-C1,Left,13
EEC378,LC-I-C1,Single,2
EEC378,LC-I-C2,Left,48
EEC378,LC-I-C2,Single,2
EEC378,LC-I-C3,Left,28
EEC402,LC-I-C5,Right,12
EEC402,PET1,Left,31
EEC402,PET1,Single,3
EEC402,PET2,Left,48
EEC402,PET2,Single,3
EEC402,PET3,Left,32
EEC507,LC-I-C1,Left,22
EEC507,LC-I-C1,Single,2
EEC507,LC-I-C2,Left,3
EEC508,NLHC LC-II-G12,Right,4
EEC508,NLHC LC-II-G13,Left,25
EEC509,NLHC LC-II-G8,Left,16
EEC509,NLHC LC-II-G8,Single,4
EEC509,NLHC LC-II-G9,Left,1
EEC510,NLHC LC-II-G15,Left,8
EEC510,NLHC LC-II-G15,Single,4
EEC510,NLHC LC-II-G16,Left,7
EEC511,NLHC LC-II-C12,Right,20
EEC512,NLHC LC-II-C12,Right,24
