Clique Size,Courses in Clique
8,"CSE201, EEO404, GPE202, MCC505, MCO403, PEC301, PEC302, PEC303"
8,"GPE202, HSD405, HSD559, HSO404, MED539, MED549, MSO403, MSO404"
8,"CYD536, ESO401, FMO547, GPO501, HSD507, MED401, MED540, MSO401"
8,"CYD536, ESD405, ESO401, FMD515, HSD507, MND401, MND402, MSO403"
8,"EEC308, EEC309, EEC310, EEO404, GPE202, MCC505, MND400, MSO301"
8,"CHD408, CHD411, CSO404, CYD536, ESD405, ESO401, HSD507, MSO403"
8,"CYD536, EED401, EED403, EEO404, ESO405, HSD405, HSD507, MSO301"
8,"CSO505, ECD403, ECD405, ESD405, FMD401, HSD507, HSD559, MSO402"
8,"CSE201, EEC310, EEO404, GPE202, MCC505, MNC300, MNC301, MSO301"
8,"CSE201, EEC308, EEC309, EEC310, EEO404, GLE201, GPE202, MSO301"
8,"ESO401, ESO405, GPO501, HSD507, HSD559, MED401, MED540, MSO401"
8,"CHO404, CSD411, CSD520, GPE202, HSD405, HSD559, HSO403, MSO402"
8,"CSD411, CSD520, CYD536, ESD405, GPO501, HSD507, HSO403, MSO404"
8,"CHO404, CSD411, CSD511, ESO405, HSD507, HSD525, HSD559, MND405"
8,"CEO401, ESD405, ESE201, GPE202, HSO404, PHC514, PHC515, PHO302"
8,"GPE202, HSD405, HSD559, HSO402, MCO403, MED401, MED549, MSO402"
8,"CSD411, CSD511, ESO401, GPE202, HSD559, HSO402, HSO404, MSO401"
8,"CSO404, ESO401, GPE202, HSD405, HSD559, HSO403, MED539, MED549"
8,"ECD403, ESD401, GPE202, HSD525, HSD559, MND405, MSO403, MSO404"
8,"CSD404, CSD520, EEO404, ESD405, GPE202, HSD559, MSO403, MSO404"
8,"CYD536, ESO401, FMO547, HSD507, HSO404, MED401, MED540, MSO401"
8,"CEO401, ESO401, ESO405, GPO501, HSD405, HSD507, PED401, PED402"
8,"CHD408, CHD411, CYD536, ESO401, HSD405, HSD507, HSO402, MSO402"
8,"CYD536, GPO501, HSD507, HSO403, MED539, MED540, MSO301, PEO401"
8,"CEO401, CSC301, CSC302, ESE201, FME221, GPE202, HSO404, PHO302"
8,"CEO401, CSD411, CSD511, CSO504, GPE202, HSO404, MSO403, MSO404"
8,"ECD403, ECD405, ESD405, ESO401, HSD507, HSD559, HSO403, MSO402"
8,"ESD405, GPO501, HSD507, HSD559, HSO403, MED401, MED540, MSO404"
8,"ESD405, ESO405, HSD507, HSD559, HSO404, MED401, MED540, MSO404"
8,"CSD411, CSD511, GPE202, GPO501, HSD559, HSO402, MSO404, PEO401"
8,"CYD536, ECD403, ECD405, ESD405, ESO401, GPO501, HSD507, MEO534"
8,"FMD401, HSD507, HSD525, HSD559, MED401, MED540, MSO402, MSO403"
8,"EED401, EED403, GPE202, HSD405, HSD559, HSO402, MND405, MSO404"
8,"CEC301, CEC302, CEO401, ESE201, GPE202, HSO309, MNE201, MSO301"
8,"CYD536, ECD403, ECD405, GPO501, HSD507, HSO403, MSO301, PEO401"
8,"CSD404, CSD520, CSO505, CYD536, EEO404, ESD405, HSD507, MSO404"
8,"ESD401, ESD405, ESD502, ESO401, ESO405, HSD507, HSD559, MSO402"
8,"CHO404, EED401, EED403, ESO405, GPO501, HSD405, HSD507, HSD559"
8,"CSD404, CSD511, ESD405, ESO401, GPE202, HSD559, HSO404, MSO403"
8,"CSO505, CYD536, ECD403, ECD405, EEO404, ESO401, HSD507, MSO401"
8,"EEC308, EEC309, EEC310, ESE201, FME221, GPE202, HSO309, MNO303"
8,"CHD408, CHD411, CSO404, ESD405, ESO401, HSD507, HSD559, MSO403"
8,"GPE202, GPO501, HSD405, HSD559, MND401, MND402, MSO403, MSO404"
8,"CYD536, ESD405, FMO547, HSD507, HSO404, MED401, MED540, MSO404"
8,"CSO404, ECD403, ESD401, ESD405, ESO401, GPE202, HSD559, HSO403"
8,"CSD404, CSD511, ESO405, HSD507, HSD525, HSD559, HSO404, MSO404"
8,"CSD404, CSD520, CSO404, CSO505, CYD536, ESD405, ESO401, HSD507"
8,"ESO401, GPE202, GPO501, HSD525, HSD559, HSO403, MED539, MED549"
8,"CYD536, GPO501, HSD405, HSD507, HSO403, MND400, MND402, MSO404"
8,"CEO401, CSD411, CSD511, CSO504, ESO401, GPE202, HSO402, MSO402"
8,"CHO404, EED401, EED403, HSD507, HSD525, HSD559, MEO534, MSO402"
8,"EED401, EED403, GPE202, GPO501, HSD559, HSO403, MED403, MSO401"
8,"CSO505, FMD401, HSD507, HSD525, HSD559, HSO404, PED401, PED402"
8,"CHO404, GPE202, HSD559, MED401, MED549, MND405, MND406, MSO401"
8,"CYD536, EED401, EED403, ESO405, GPO501, HSD405, HSD507, PEO404"
8,"CSD404, CSD520, CSO505, ESD405, GPO501, HSD507, HSD559, MSO404"
8,"GPE202, HSD405, HSD559, MND400, MND402, MND405, MSO403, MSO404"
8,"CYD536, ESO401, ESO405, GPO501, HSD507, MND401, MND402, MSO401"
8,"EEC308, EEC309, EEC310, EEO404, GPE202, MME202, MNE201, MNO303"
8,"CSD411, CSD511, ESD405, ESO401, GPE202, GPO501, HSD559, HSO402"
8,"CYD536, EED401, EED403, FMO547, GPO501, HSD507, MSO301, PEO401"
8,"CYD536, ESO401, ESO405, HSD507, MED539, MED549, MSO402, PEO401"
8,"CHD408, CHD411, CHO402, FMD401, HSD405, HSD507, HSD559, MSO403"
